"nome","cognome","email","data_di_nascita","avatar"
"Daphne","O'Keefe","Kaci36@gmail.com","1996-07-13T15:57:57.138Z","https://avatars.githubusercontent.com/u/4496584"
"Ethelyn","Hamill","Rogelio_Wehner@yahoo.com","1946-01-23T02:20:16.842Z","https://avatars.githubusercontent.com/u/41015872"
"Noemi","Willms","Gilberto.Jacobson11@gmail.com","1995-03-28T23:18:53.325Z","https://avatars.githubusercontent.com/u/68455225"
"Nikko","Mitchell","Dannie67@gmail.com","1992-01-01T08:12:18.610Z","https://avatars.githubusercontent.com/u/46760416"
"Retha","Yost","Mafalda.Kihn@hotmail.com","1978-12-30T20:22:20.051Z","https://avatars.githubusercontent.com/u/37712623"
"Breanna","Greenfelder","Yvonne_Hilpert@gmail.com","1971-12-13T06:48:09.081Z","https://avatars.githubusercontent.com/u/89748422"
"Ward","Ebert","Evert_Howell@gmail.com","1962-10-13T15:55:57.945Z","https://avatars.githubusercontent.com/u/39225306"
"Alfred","White","Nels52@hotmail.com","1944-03-14T21:51:41.633Z","https://avatars.githubusercontent.com/u/6392716"
"Norbert","Effertz","Queenie.Wisoky@yahoo.com","1998-03-12T15:40:28.917Z","https://avatars.githubusercontent.com/u/98537296"
"Angel","Mraz","Nasir.Franey@gmail.com","1972-03-30T09:14:01.952Z","https://avatars.githubusercontent.com/u/62604712"
"Idell","Toy","Jamarcus.Koelpin0@hotmail.com","1957-04-04T21:25:07.472Z","https://avatars.githubusercontent.com/u/99470562"
"Bettie","Lindgren","Walter.Paucek8@hotmail.com","1944-04-23T19:08:22.358Z","https://avatars.githubusercontent.com/u/56314537"
"Reynold","Jones","Nico_Bernhard@hotmail.com","1953-01-01T13:12:50.347Z","https://avatars.githubusercontent.com/u/64685025"
"Rosanna","Bednar","Kristin_Hagenes92@hotmail.com","2005-10-12T03:16:49.591Z","https://avatars.githubusercontent.com/u/36771627"
"Rogers","Swaniawski","Shayne_Cartwright@yahoo.com","1956-08-02T12:03:10.174Z","https://avatars.githubusercontent.com/u/51457518"
"Elva","Stroman","Ellsworth90@yahoo.com","1957-03-13T18:48:16.947Z","https://avatars.githubusercontent.com/u/63980636"
"Gregory","Pfeffer","Imani.Deckow77@gmail.com","1951-02-03T04:39:40.455Z","https://avatars.githubusercontent.com/u/60772373"
"Augustine","West","Kaia13@hotmail.com","1960-06-11T03:30:26.282Z","https://avatars.githubusercontent.com/u/40088368"
